t,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1697402585.734314,-3890.18,-7633.164,-32723.239999999998,-14166.864,-11135.828,575.96,-6641.844,-9183.228,-34509.2,-11277.016,-4379.832,-8581.32
1697402585.7409215,-4115.48,-7849.452,-33052.36,-14235.956,-11207.924,445.28,-6680.896,-9219.276,-34562.44,-11060.728,-4157.536,-8223.16
1697402585.747469,-3926.228,-7666.208,-32781.32,-14166.864,-11135.828,566.28,-6792.044,-9324.416,-34717.32,-11240.968,-4343.784,-8528.08
1697402585.7540262,-3926.228,-7666.208,-32781.32,-14205.916,-11174.88,508.2,-6677.892,-9216.272,-34562.44,-11204.92,-4304.732,-8460.32
1697402585.7606106,-3926.228,-7672.216,-32781.32,-14344.1,-11316.068,266.2,-6677.892,-9219.276,-34562.44,-11240.968,-4343.784,-8523.24
1697402585.7671905,-3965.28,-7705.26,-32829.72,-14169.868,-11138.832,571.12,-6786.036,-9321.412,-34712.479999999996,-11024.68,-4115.48,-8165.08
1697402585.7737343,-4001.328,-7738.304,-32887.799999999996,-14344.1,-11316.068,251.68,-6638.84,-9183.228,-34514.04,-11243.972,-4343.784,-8518.4
1697402585.7803895,-4151.528,-7888.504,-33100.76,-14341.096,-11316.068,256.52,-6713.94,-9252.32,-34610.84,-10985.628,-4079.432,-8102.16
1697402585.7868743,-4112.476,-7852.456,-33047.52,-14208.92,-11171.876,508.2,-6605.796,-9141.172,-34460.799999999996,-11240.968,-4337.776,-8532.92
1697402585.793465,-3965.28,-7705.26,-32829.72,-14275.008,-11243.972,387.2,-6752.992,-9285.364,-34668.92,-11201.916,-4304.732,-8465.16
1697402585.80002,-4079.432,-7816.408,-32989.44,-14311.056,-11280.02,324.28,-6933.232,-9474.616,-34944.799999999996,-11310.06,-4421.888,-8644.24
1697402585.8066163,-3773.024,-7519.012,-32563.52,-14311.056,-11280.02,324.28,-6752.992,-9288.368,-34668.92,-11310.06,-4418.884,-8644.24
1697402585.8131604,-4001.328,-7744.312,-32892.64,-14235.956,-11210.928,450.12,-6825.088,-9363.468,-34775.4,-11490.3,-4605.132,-8944.32
1697402585.819743,-3926.228,-7666.208,-32786.159999999996,-14238.96,-11207.924,454.96,-6825.088,-9363.468,-34780.24,-11382.156,-4490.98,-8760.4
1697402585.8263552,-3773.024,-7522.016,-32563.52,-14416.196,-11388.164,135.51999999999998,-6789.04,-9327.42,-34727.0,-11201.916,-4301.728,-8460.32
1697402585.832895,-3926.228,-7666.208,-32776.479999999996,-14311.056,-11280.02,324.28,-6789.04,-9324.416,-34727.0,-11240.968,-4340.78,-8528.08
1697402585.8394644,-4001.328,-7744.312,-32892.64,-14238.96,-11204.92,450.12,-6752.992,-9291.372,-34668.92,-11024.68,-4115.48,-8160.24
1697402585.8460352,-3962.276,-7705.26,-32834.56,-14416.196,-11385.16,135.51999999999998,-6825.088,-9363.468,-34785.08,-11280.02,-4379.832,-8586.16
1697402585.8526144,-3851.128,-7597.116,-32670.0,-14235.956,-11207.924,445.28,-6825.088,-9363.468,-34780.24,-11277.016,-4379.832,-8581.32
1697402585.8591926,-3995.32,-7741.308,-32892.64,-14416.196,-11388.164,135.51999999999998,-6710.936,-9252.32,-34615.68,-11349.112,-4451.928,-8702.32
1697402585.8657646,-3998.324,-7741.308,-32892.64,-14202.912,-11171.876,508.2,-6755.996,-9288.368,-34673.76,-11165.868,-4268.684,-8402.24
1697402585.8723476,-3697.924,-7449.92,-32457.039999999997,-14449.24,-11421.208,72.6,-6930.228,-9471.612,-34935.119999999995,-11132.824,-4226.628,-8339.32
1697402585.8789232,-3965.28,-7705.26,-32839.4,-14311.056,-11280.02,324.28,-6713.94,-9252.32,-34610.84,-11277.016,-4379.832,-8581.32
1697402585.8854604,-3965.28,-7705.26,-32829.72,-14308.052,-11280.02,319.44,-6825.088,-9363.468,-34770.56,-11237.964,-4343.784,-8528.08
1697402585.8921268,-3776.028,-7519.012,-32563.52,-14344.1,-11319.072,261.36,-6752.992,-9285.364,-34668.92,-11243.972,-4337.776,-8523.24
1697402585.8986545,-3968.284,-7708.264,-32829.72,-14413.192000000001,-11388.164,135.51999999999998,-6789.04,-9327.42,-34722.159999999996,-11313.064,-4418.884,-8649.08
1697402585.9051955,-4079.432,-7816.408,-32994.28,-14341.096,-11316.068,256.52,-6789.04,-9324.416,-34727.0,-11240.968,-4343.784,-8523.24
1697402585.9118915,-4082.436,-7816.408,-32994.28,-14416.196,-11385.16,121.0,-6825.088,-9363.468,-34780.24,-11237.964,-4343.784,-8518.4
1697402585.9183385,-3965.28,-7708.264,-32829.72,-14238.96,-11210.928,445.28,-6716.944,-9255.324,-34620.52,-11313.064,-4421.888,-8644.24
1697402585.9249191,-3968.284,-7705.26,-32834.56,-14374.14,-11349.112,193.6,-6755.996,-9291.372,-34673.76,-11204.92,-4304.732,-8460.32
1697402585.9314606,-4001.328,-7738.304,-32887.799999999996,-14238.96,-11207.924,450.12,-6822.084,-9360.464,-34775.4,-11132.824,-4232.636,-8344.16
1697402585.9380746,-3926.228,-7672.216,-32781.32,-14308.052,-11280.02,319.44,-6677.892,-9216.272,-34557.6,-11274.012,-4382.836,-8586.16
1697402585.9446313,-3968.284,-7705.26,-32834.56,-14311.056,-11280.02,319.44,-6683.9,-9219.276,-34572.12,-11171.876,-4268.684,-8407.08
1697402585.9512203,-4001.328,-7744.312,-32878.12,-14238.96,-11204.92,450.12,-6789.04,-9327.42,-34722.159999999996,-11385.16,-4496.988,-8765.24
1697402585.9578538,-4004.332,-7744.312,-32887.799999999996,-14308.052,-11280.02,314.59999999999997,-6867.144,-9399.516,-34833.479999999996,-11237.964,-4340.78,-8523.24
1697402585.9643414,-3926.228,-7669.212,-32786.159999999996,-14446.236,-11424.212,62.92,-6719.948,-9255.324,-34615.68,-11024.68,-4118.484,-8169.92
1697402585.970925,-4004.332,-7741.308,-32887.799999999996,-14482.284,-11454.252,14.52,-6605.796,-9147.18,-34460.799999999996,-11313.064,-4421.888,-8644.24
1697402585.977583,-3848.124,-7594.112,-32670.0,-14130.816,-11102.784,634.04,-6752.992,-9288.368,-34678.6,-11349.112,-4457.936,-8702.32
1697402585.9840643,-3998.324,-7744.312,-32882.96,-14413.192000000001,-11385.16,135.51999999999998,-6599.788,-9147.18,-34460.799999999996,-11243.972,-4343.784,-8523.24
1697402585.9906363,-4076.428,-7819.412,-32994.28,-14094.768,-11066.736,692.12,-6752.992,-9291.372,-34678.6,-11099.78,-4193.584,-8281.24
